start, end, dbtime1, dbtime2, dbtime3, dbtime4, dbtime5
1643315483048, 1643315487583, 932, 0, 383, 1159, 67
1643315483854, 1643315488118, 183, 0, 414, 1814, 118
1643315484643, 1643315489118, 337, 0, 171, 2210, 16
1643315485446, 1643315490446, 319, 0, 448, 1394, 1005
1643315486243, 1643315490048, 695, 0, 144, 1068, 178
1643315487050, 1643315491805, 692, 0, 259, 1795, 11
1643315487858, 1643315492821, 486, 0, 113, 2390, 38
1643315488654, 1643315492627, 357, 0, 213, 1555, 41
1643315489464, 1643315493232, 1186, 0, 131, 498, 13
1643315490267, 1643315493409, 229, 0, 222, 808, 13
1643315491050, 1643315494209, 167, 0, 107, 1097, 12
1643315491852, 1643315494981, 110, 0, 230, 916, 15
1643315492669, 1643315497129, 570, 0, 244, 1783, 13
1643315493456, 1643315496234, 69, 0, 125, 707, 12
1643315494259, 1643315497859, 448, 0, 159, 1078, 13
1643315495070, 1643315498658, 151, 0, 151, 1390, 13
1643315495864, 1643315499509, 712, 0, 100, 847, 199
1643315496668, 1643315500707, 55, 0, 78, 1987, 10
1643315497476, 1643315501213, 832, 0, 247, 822, 12
1643315498274, 1643315501451, 72, 0, 179, 983, 13
1643315499087, 1643315502438, 630, 0, 247, 646, 74
1643315499875, 1643315503236, 150, 0, 151, 1122, 12
1643315500680, 1643315503944, 131, 0, 92, 1193, 33
1643315501490, 1643315504892, 53, 0, 193, 1272, 37
1643315502279, 1643315505844, 339, 0, 354, 953, 110
1643315503081, 1643315506934, 150, 0, 226, 1551, 10
1643315503880, 1643315507418, 569, 0, 131, 1012, 10
1643315504688, 1643315508230, 403, 0, 195, 1057, 13
1643315505493, 1643315508613, 782, 0, 76, 437, 11
1643315506282, 1643315509845, 799, 0, 185, 633, 76
1643315507095, 1643315510526, 69, 0, 183, 1351, 12
1643315507889, 1643315511690, 596, 0, 308, 994, 13
1643315508680, 1643315511606, 56, 0, 177, 882, 13
1643315509500, 1643315513463, 878, 0, 87, 1111, 11
1643315510296, 1643315513164, 188, 0, 79, 681, 57
1643315511097, 1643315514038, 199, 0, 129, 860, 11
1643315511900, 1643315514312, 139, 0, 63, 339, 12
1643315512689, 1643315515594, 533, 0, 79, 425, 16
1643315513487, 1643315515962, 58, 0, 60, 386, 49
1643315514303, 1643315517110, 163, 0, 171, 628, 13
1643315515098, 1643315517819, 196, 0, 130, 547, 12
